iter	Passed	Remaining
826	1142	239
827	1143	237
828	1144	236
829	1147	234
830	1149	233
831	1150	232
832	1151	230
833	1152	229
834	1154	228
835	1154	226
836	1156	225
837	1157	223
838	1158	222
839	1162	221
840	1165	220
841	1166	218
842	1167	217
843	1168	216
844	1169	214
845	1170	213
846	1171	211
847	1172	210
848	1173	208
849	1177	207
850	1179	206
851	1180	205
852	1181	203
853	1182	202
854	1183	200
855	1184	199
856	1185	197
857	1186	196
858	1187	194
859	1187	193
860	1188	191
861	1191	190
862	1194	189
863	1196	188
864	1197	186
865	1198	185
866	1199	183
867	1201	182
868	1202	181
869	1203	179
870	1205	178
871	1208	177
872	1209	175
873	1210	174
874	1210	172
875	1211	171
876	1212	170
877	1213	168
878	1214	167
879	1215	165
880	1216	164
881	1217	162
882	1218	161
883	1218	159
884	1222	158
885	1224	157
886	1226	156
887	1227	154
888	1228	153
889	1229	151
890	1230	150
891	1230	149
892	1231	147
893	1232	146
894	1233	144
895	1238	143
896	1240	142
897	1240	140
898	1241	139
899	1242	138
900	1243	136
901	1244	135
902	1245	133
903	1246	132
904	1246	130
905	1247	129
906	1248	128
907	1250	126
908	1252	125
909	1254	124
910	1255	122
911	1256	121
912	1257	119
913	1258	118
914	1259	116
915	1260	115
916	1260	114
917	1261	112
918	1262	111
919	1263	109
920	1264	108
921	1268	107
922	1269	105
923	1270	104
924	1270	103
925	1271	101
926	1272	100
927	1274	98
928	1274	97
929	1275	96
930	1276	94
931	1277	93
932	1278	91
933	1280	90
934	1281	89
935	1283	87
936	1285	86
937	1285	84
938	1286	83
939	1287	82
940	1288	80
941	1289	79
942	1290	78
943	1291	76
944	1292	75
945	1293	73
946	1296	72
947	1298	71
948	1298	69
949	1299	68
950	1300	67
951	1301	65
952	1302	64
953	1303	62
954	1304	61
955	1305	60
956	1306	58
957	1307	57
958	1310	56
959	1312	54
960	1314	53
961	1315	51
962	1316	50
963	1317	49
964	1318	47
965	1319	46
966	1319	45
967	1320	43
968	1321	42
969	1322	40
970	1323	39
971	1327	38
972	1328	36
973	1329	35
974	1330	34
975	1331	32
976	1332	31
977	1332	29
978	1333	28
979	1334	27
980	1335	25
981	1336	24
982	1336	23
983	1337	21
984	1339	20
985	1341	19
986	1343	17
987	1344	16
988	1345	14
989	1346	13
990	1347	12
991	1348	10
992	1349	9
993	1350	8
994	1351	6
995	1352	5
996	1353	4
997	1355	2
998	1357	1
999	1357	0
